,0
4141,Eden
4142,Eden Programming Language
4143,EDF
4144,EDI
4145,EDI analyst
4146,EDIF
4147,EDIFACT
4148,Edinburgh Multi Access System
4149,Edinburgh Prolog
4150,Edinburgh SML
4151,Edison
4152,edit
4153,editor
4154,EDL
4155,EDM
4156,EdML
4157,EDMS
4158,EDO DRAM
4159,EDO memory
4160,EDO RAM
4161,EDP
4162,EDP auditor
4163,EDRAM
4164,EDS
4165,EDS+
4166,EDSAC
4167,edu
4168,education contact
4169,edutainment
4170,Edward Lorenz
4171,Edward Yourdon
4172,Edwin
4173,ee
4174,EEMA
4175,EEPROM
4176,EER
4177,E. F. Codd
4178,EFF
4179,effective computable
4180,effective number of bits
4181,Effort Adjustment Factor
4182,EFI
4183,EFL
4184,EFNet
4185,Eforth
4186,E-Forth
4187,EFT
4188,EFTPOS
4189,EFTS
4190,eg
4191,EGA
4192,Eggdrop
4193,egosurfing
4194,EGP
4195,egrep
4196,Egyptian brackets
4197,Eh
4198,eh
4199,eHelp Corporation
4200,EHTS
4201,EIA
4202,EIA-232
4203,EIA-232C
4204,EIA-422
4205,EIA-423
4206,EIA-449
4207,EIA-485
4208,EIA-530
4209,EIDE
4210,Eiffel
4211,Eiffel source checker
4212,eigenvalue
4213,eigenvector
4214,eight-bit clean
4215,eight queens problem
4216,eight queens puzzle
4217,eighty-column mind
4218,eighty-twenty rule
4219,EIRP
4220,EISA
4221,EJB
4222,Eksi Sozluk
4223,EL1
4224,el(alpha)
4225,Elan
4226,El Camino Bignum
4227,elder days
4228,e-learning
4229,Electing a Pope
4230,Electrically Alterable Programmable Read-Only Memory
4231,Electrically Erasable Programmable Read-Only Memory
4232,Electromagnetic Compatibility
4233,electromigration
4234,electron
4235,electronic commerce
4236,Electronic Commerce Dictionary
4237,electronic data interchange
4238,Electronic Data Processing
4239,Electronic Design Automation
4240,Electronic Discrete Sequential Automatic Computer
4241,Electronic Frontier Foundation
4242,electronic funds transfer
4243,Electronic Funds Transfer Point of Sale
4244,electronic funds transfer system
4245,electronic magazine
4246,electronic mail
4247,electronic mail address
4248,electronic mail client
4249,electronic meeting
4250,Electronic Numerical Integrator and Computer
4251,Electronic Performance Support System
4252,Electronic Piece Of Cheese
4253,Electronic Report Management
4254,Electronics Industry Association
4255,electronic whiteboarding
4256,electron model
4257,electron tube
4258,Electrostatic Discharge
4259,elegant
4260,element
4261,elephant
4262,elephantine
4263,elevator controller
4264,ELF
4265,ELI
4266,Eli Compiler Construction System
4267,ELISP
4268,elite
4269,ELIZA
4270,ELIZA effect
4271,Elk
4272,ELLA
4273,Ellemtel
4274,Ellie
4275,ELLIS
4276,elm
4277,ELMAGUIDE
4278,ELMAMETA
4279,ELP
4280,ELSIE
4281,Elvis
4282,elvish
4283,EM
4284,EM-1
4285,EMA
4286,Emacs
4287,Emacs Lisp
4288,e-mail
4289,e-mail address
4290,e-mail client
4291,EMAS
4292,Embedded Lisp Interpreter
4293,Embedded Mode
4294,embedded system
4295,embedding
4296,EMBLA Pro
4297,embosser
4298,EMC
4299,"EMD Enterprises, Inc."
4300,EMDIR
4301,Emerald
4302,EMI
4303,Emitter Coupled Logic
4304,EML
4305,EMM
4306,EMM386
4307,emote
4308,emoticon
4309,empeg
4310,empire
4311,empty element tag
4312,Empty Nest
4313,EMS
4314,emTeX
4315,EMU8000
4316,emulation
4317,emulator
4318,Emulator program
4319,EMX
4320,enabling
4321,Encapsulated PostScript
4322,encapsulation
4323,encode
4324,encoder
4325,encryption
4326,endian
4327,endless loop
4328,End Of Line
4329,End of Medium
4330,End Of Text
4331,End Of Transmission
4332,end tag
4333,end-to-end solution
4334,End Transmission Block
4335,end-user
4336,engage
4337,"Engelbart, Douglas"
4338,engine
4339,English
4340,English shellcode
4341,enhanced
4342,Enhanced Capabilities Port
4343,Enhanced Directory Service
4344,Enhanced Dynamic Random Access Memory
4345,Enhanced Graphics Adapter
4346,Enhanced IDE
4347,Enhanced Integrated Drive Electronics
4348,enhanced parallel port
4349,Enhanced Small Disk Interface
4350,enhancement
4351,ENIAC
4352,Enigma
4353,ENOB
4354,ENQ
4355,enqueue
4356,ENS
4357,Ente Nazionale Italiano di Unificazione
4358,enterprise
4359,Enterprise Application Integration
4360,Enterprise JavaBeans
4361,Enterprise Report Management
4362,Enterprise Resource Planning
4363,Enterprise Systems CONnectivity
4364,EntireX
4365,entity
4366,entity-relationship diagram
4367,entity-relationship model
4368,entropy
4369,Entry Sequenced Data Set
4370,enumerated type
4371,enumeration
4372,environment
4373,Environmental Audio eXtensions
4374,environment variable
4375,Envoy
4376,EOF
4377,EOL
4378,EOR
4379,EOT
4380,EOU
4381,EOUG
4382,EP
4383,EPCS
4384,ephemeral port
4385,EPILOG
4386,EPIM
4387,epistasis
4388,EPL
4389,EPOC
4390,epoch
4391,EPP
4392,EPROM
4393,EPROM OTP
4394,EPROS
4395,EPS
4396,EPSILON
4397,epsilon
4398,epsilon squared
4399,EPSIMONE
4400,EPSS
4401,EqL
4402,EQLOG
4403,EQLog
4404,Eqn
4405,equals
4406,equational logic
4407,Equational Programming Language
4408,Equel
4409,equivalence class
4410,equivalence class partitioning
4411,equivalence partitioning
4412,equivalence relation
4413,equivalent isotropically radiated power
4414,ER
4415,er
4416,ERA
4417,era
4418,Erasable Programmable Read-Only Memory
4419,erase
4420,eraser stains code
4421,ERC
4422,ERCIM
4423,ERD
4424,EREW PRAM
4425,ERFPI
4426,ergonomic
4427,ergonomics
4428,ERGO-Shell
4429,Eric Conspiracy
4430,Eric S. Raymond
4431,Eris
4432,Erlang
4433,ERM
4434,erotica
4435,ERP
4436,error
4437,error-based testing
4438,error correcting memory
4439,error detection and correction
4440,es
4441,ES-1
4442,ESA
4443,ESC
4444,ESCAPE
4445,escape
4446,escape sequence
4447,ESCD
4448,ESCON
4449,escrow
4450,ESD
4451,ESDI
4452,ESF
4453,ESI
4454,esim
4455,ESL
4456,ESLPDPRO
4457,ESML
4458,ESMTP
4459,esolang
4460,esoteric programming language
4461,ESP
4462,ESPOL
4463,ESPRIT
4464,ESR
4465,essential complexity
4466,Estelle
4467,Esterel
4468,EstPC
4469,ET
4470,et
4471,ET++
4472,eta abstraction
4473,eta conversion
4474,eta expansion
4475,eta reduction
4476,ETB
4477,ETC
4478,e-text
4479,ETHER
4480,EtherGate
4481,Ethernet
4482,Ethernet address
4483,Ethernet meltdown
4484,Ethernet Private Line
4485,EtherTalk
4486,ethics
4487,ETL
4488,ETM
4489,ETRN
4490,ETSI
4491,ETX
4492,Euclid
4493,Euclidean Algorithm
4494,Euclidean norm
4495,Euclid's Algorithm
4496,Eudora
4497,EULA
4498,EULER
4499,EuLisp
4500,EUnet Ltd.
4501,Euphoria
4502,Eureka
4503,Eureka step
4504,Eurisko
4505,Eurocard
4506,Euro-ISDN
4507,EuroNet
4508,EuropaNET
4509,European Academic and Research Network
4510,European Computer-Industry Research Centre GmbH
4511,European Computer Manufacturers Association
4512,European Strategic Programme for Research in Information Technology
4513,European Telecommunications Standards Institute
4514,EUUG
4515,EV6
4516,Eva
4517,EVALUATE
4518,evaluation
4519,evaluation strategy
4520,evaluator
4521,EVE
4522,event
4523,Event Description Language
4524,event-driven
4525,EVGA
4526,evolutionary algorithm
4527,evolutionary computation
4528,evolutionary programming
4529,evolution strategy
4530,EWOS
4531,exa-
4532,Exabyte
4533,exabyte
4534,examining the entrails
4535,EXAPT
4536,Excalibur bug
4537,Exceed
4538,Excel
4539,Excelan
4540,Excelerator
4541,exception
4542,exception handler
4543,EXCH
4544,Exchange Server
4545,excl
4546,exclamation mark
4547,exclamation point
4548,exclusive or
4549,EXCP
4550,EXE
4551,EXEC
4552,exec
4553,EXEC 2
4554,EXEC 8
4555,executable
4556,executable content
4557,execute
4558,Execute Channel Program
4559,execution
4560,executive
4561,Executive Systems Programming Oriented Language
4562,"exercise, left as an"
4563,exhaustive testing
4564,existence proof
4565,existential quantifier
4566,exit
4567,EXODUS
4568,eXodus
4569,EXOS
4570,expanded memory
4571,expanded memory manager
4572,expanded memory page frame
4573,Expanded Memory Specification
4574,expansion card
4575,expansion slot
4576,expect
4577,eXperimental LISP
4578,Experimental Physics Control Systems
4579,Experimental Programming Language
4580,Experiment Description Language
4581,Expert Judgement Models
4582,expert system
4583,Expert Systems Ltd.
4584,explicit parallelism
4585,explicit type conversion
4586,exploit
4587,Exploratory Data Analysis
4588,exponent
4589,exponential
4590,exponential-time
4591,exponential-time algorithm
4592,Express
4593,expression
4594,expression tree
4595,extend
4596,Extended Affix Grammar
4597,Extended ALGOL
4598,Extended Architecture
4599,Extended Backus-Naur Form
4600,Extended Binary Coded Decimal Interchange Code
4601,Extended BNF
4602,Extended C++
4603,Extended Capabilities Port
4604,Extended Concurrent Prolog
4605,Extended Data Out Dynamic Random Access Memory
4606,Extended Data Out Random Access Memory
4607,Extended Fortran Language
4608,eXtended Graphics Array
4609,Extended Industry-Standard Architecture
4610,extended memory
4611,extended memory manager
4612,Extended Memory Specification
4613,Extended ML
4614,Extended Pascal
4615,Extended Self-containing Prolog
4616,Extended System Configuration Data
4617,Extended Systems Modelling Language
4618,Extended Tcl
4619,Extended Tiny
4620,Extended Video Graphics Array
4621,eXtended Video Graphics Array
4622,ExTendible Compiler
4623,extensible
4624,extensible database
4625,Extensible Firmware Interface
4626,Extensible HyperText Markup Language
4627,Extensible Markup Language
4628,Extensible Shell
4629,Extensible Stylesheet Language
4630,Extensible Stylesheet Language Transformations
4631,Extensible VAX Editor
4632,extension
4633,extensional
4634,extensional equality
4635,extensionality
4636,Extension Language Kit
4637,Exterior Gateway Protocol
4638,eXternal Data Representation
4639,External Machine Interface
4640,external memory
4641,EXTRA
4642,extranet
4643,extrapolate
4644,extrapolation
4645,EXUG
4646,eyeball search
4647,EZ
4648,ezd
4649,e-zine
4650,F100-L
4651,f2c
4652,F2F
4653,F68K
4654,FAC
4655,facebook.com
4656,face time
4657,face-to-face
4658,Facile
4659,facsimile
4660,FACT
4661,fact
4662,factor
4663,factorial
4664,FAD
4665,failback
4666,failover
4667,failure
4668,failure-directed testing
4669,FAIR
4670,Fairchild F8
4671,fall back
4672,fall forward
4673,fall over
4674,fall through
4675,fall thru
4676,FALSE
4677,FancyIndexing
4678,fandango on core
4679,fan-out
4680,FAP
4681,FAQ
4682,FAQL
4683,FAQ list
4684,faradise
4685,farkled
4686,farm
4687,farming
4688,FARNET
4689,fas
4690,FASBOL
4691,fascist
4692,FASE
4693,FAST
4694,Fast ATA
4695,Fast ATA-2
4696,Faster LEX
4697,Fast Ethernet
4698,Fast Fourier Transform
4699,Fast Packet
4700,Fast Page Mode Dynamic Random Access Memory
4701,Fast SCSI
4702,FAT
4703,FAT32
4704,fatal
4705,fatal error
4706,fatal exception
4707,fat binary
4708,fat client
4709,fat electrons
4710,fault
4711,fault-based testing
4712,fault tolerance
4713,fault tolerant
4714,Fault Tolerant Unix
4715,fault tree analysis
4716,fax
4717,Fax over IP
4718,FC
4719,FC-AL
4720,FCB
4721,F-code
4722,FCP
4723,FC-PGA
4724,FCS
4725,FDC
4726,FDD
4727,FDDI
4728,FDISK
4729,fd leak
4730,fdlibm
4731,FDMA
4732,FDSE
4733,FDSP
4734,FDT
4735,fdx
4736,FEA
4737,fear and loathing
4738,fear-driven development
4739,feasibility study
4740,feasible
4741,feature
4742,feature creature
4743,feature creep
4744,featurectomy
4745,feature key
4746,feature shock
4747,FEC
4748,FED
4749,Federal Geographic Data Committee
4750,Federal Information Exchange
4751,Federal Information Processing Standards
4752,Federal Networking Council
4753,federation
4754,Federation Against Software Theft Limited
4755,Fedora
4756,feed
4757,feedback
4758,feedback control
4759,feed-forward
4760,Feel
4761,feep
4762,feeper
4763,feeping creature
4764,feeping creaturism
4765,FEL
4766,femto-
4767,fence
4768,fencepost error
4769,fepped out
4770,FEPROM
4771,Fermat prime
4772,Fermat's Last Post
4773,Ferranti F100-L
4774,ferrite core memory
4775,Ferroelectric RAM
4776,Ferroelectric Random Access Memory
4777,Fetch
4778,fetch-execute cycle
4779,"Feynman, Richard P."
4780,FF
4781,ffccc
4782,FFP
4783,FFT
4784,FGDC
4785,FGHC
4786,FGL
4787,FGL+LV
4788,FGRAAL
4789,fgrep
4790,FhG
4791,FHS
4792,FHSS
4793,fi
4794,Fiber Distributed Data Interface
4795,Fiber Optic InterRepeater Link
4796,fiber optics
4797,Fibonacci sequence
4798,Fibre Channel
4799,Fibre Channel-Arbitrated Loop
4800,fibre optics
4801,FIDIL
4802,FIDO
4803,FidoNet
4804,Fidonews
4805,field
4806,field circus
4807,field effect transistor
4808,field emission display
4809,field mouse
4810,field-programmable gate array
4811,field servoid
4812,FIFO
4813,Fifth
4814,Fifth Dimension Technologies
4815,fifth generation language
4816,fifth normal form
4817,Fight-o-net
4818,file
4819,File Allocation Table
4820,File Attach
4821,File Composition
4822,file compression
4823,file control block
4824,file descriptor
4825,file descriptor leak
4826,file extension
4827,FileMaker
4828,"FileMaker, Inc."
4829,filename extension
4830,FileNet
4831,File Request
4832,File Separator
4833,file server
4834,File Service Protocol
4835,file signature
4836,file system
4837,Filesystem Hierarchy Standard
4838,file transfer
4839,File Transfer Protocol
4840,file type
4841,filing system
4842,filk
4843,fill-out form
4844,film at 11
4845,FILO
4846,Filtabyte
4847,filter
4848,filter promotion
4849,FIMS
4850,Finagle's Law
4851,Financial Information eXchange
4852,Finder
4853,fine adjuster
4854,fine grain
4855,finger
4856,finger-pointing syndrome
4857,finite
4858,Finite Automata
4859,Finite Automaton
4860,finite differencing
4861,Finite Impulse Response
4862,Finite State Automata
4863,Finite State Automaton
4864,Finite State Machine
4865,finn
4866,FIPS
4867,FIR
4868,firebottle
4869,firefighting
4870,Firefox
4871,firehose syndrome
4872,firewall
4873,firewall code
4874,firewall machine
4875,FireWire
4876,fireworks mode
4877,Firmware
4878,firmy
4879,first class module
4880,first fit
4881,first generation
4882,first generation computer
4883,first generation language
4884,first-in first-out
4885,first normal form
4886,first-order
4887,first-order logic
4888,First Party DMA
4889,fish
4890,FISH queue
4891,FITNR
4892,FITS
4893,FIX
4894,fix
4895,fixed disk
4896,fixed point
4897,fixed-point
4898,fixed point combinator
4899,fixed-radio access
4900,fixed-width
4901,FIXME
4902,fixpoint
4903,fj
4904,Fjolnir
4905,fk
4906,FL
4907,F+L
4908,flag
4909,flag day
4910,FLAIR
4911,flaky
4912,flamage
4913,flame
4914,flame bait
4915,flame off
4916,flame on
4917,flamer
4918,flame war
4919,flaming
4920,FLAP
4921,flap
4922,flapping router
4923,flarp
4924,Flash
4925,flash
4926,flash drive
4927,Flash EPROM
4928,Flash Erasable Programmable Read-Only Memory
4929,Flash Lights Impressively
4930,flash memory
4931,Flash ROM
4932,flat
4933,flat address space
4934,flat ASCII
4935,flat file
4936,flat file database
4937,flatten
4938,flat thunk
4939,Flavors
4940,Fleng
4941,FLEX
4942,Flex
4943,Flex++
4944,Flex 2
4945,FLI
4946,flib
4947,FLIC
4948,FLIP
4949,Flip Chip Pin Grid Array
4950,flip-flop
4951,flippy
4952,FLIP-SPUR
4953,float
4954,floater
4955,floating-point
4956,floating-point accelerator
4957,Floating-Point SPECbaserate
4958,Floating-Point SPECbaseratio
4959,Floating-Point SPECrate
4960,Floating-Point SPECratio
4961,floating point underflow
4962,Floating-Point Unit
4963,floating underflow
4964,F-Logic
4965,flood
4966,FLOP
4967,Floppy
4968,floppy
4969,floppy disc
4970,floppy disk
4971,floppy disk drive
4972,floppy drive
4973,FLOPS
4974,Flops
4975,floptical
4976,Flow
4977,flow chart
4978,flow control
4979,flower key
4980,FLOW-MATIC or FLOWMATIC
4981,flow of control
4982,FLPL
4983,FLUB
4984,"Fluegelman, Andrew"
4985,flush
4986,Flynn's taxonomy
4987,fly page
4988,Flyspeck 3
4989,flytrap
4990,FM
4991,fm
4992,FMPL
4993,FMQ
4994,FMS
4995,FMV
4996,FNAL
4997,FNC
4998,fnord
4999,FN tunnelling
5000,fo
5001,FOAD
5002,FOAF
5003,FOCAL
5004,FOCL
5005,FOCUS
5006,focus group
5007,FOD
5008,FOIL
5009,FoIP
5010,FOIRL
5011,fold case
5012,folder
5013,fold function
5014,FOLDOC
5015,followup
5016,font
5017,fontology
5018,foo
5019,foobar
5020,foogol
5021,FOOL
5022,fool file
5023,Fools' Lisp
5024,Foonly
5025,FOOP
5026,foot-net
5027,footprint
5028,for
5029,fora
5030,FORC
5031,Force
5032,ForceOne
5033,ForceTwo
5034,foreground
5035,Foreign eXchange Office
5036,Foreign eXchange Subscriber
5037,foreign key
5038,Foresight
5039,for free
5040,fork
5041,fork bomb
5042,forked
5043,for loop
5044,FORM
5045,FORMAC
5046,FORMAL
5047,formal argument
5048,Formal Description Technique
5049,formal methods
5050,Formal Object Role Modeling Language
5051,formal review
5052,format
5053,FORMAT-Fortran
5054,Formatting Output Specification Instance
5055,Formes
5056,form factor
5057,form feed
5058,form function
5059,FORML
5060,forms
5061,formula
5062,Formula ALGOL
5063,Forsythe
5064,FORTH
5065,for The Rest Of Them
5066,for The Rest Of Us
5067,Forth Modification Lab
5068,Fortran
5069,Fortran 66
5070,Fortran 77
5071,Fortran 90
5072,Fortran Automatic Symbol Translator
5073,Fortran D
5074,Fortran I
5075,Fortran II
5076,Fortran III
5077,Fortran IV
5078,Fortran-Linda
5079,Fortran M
5080,Fortran Matrix Abstraction Technique Fortran
5081,Fortran-Plus
5082,FORTRANSIT
5083,Fortran V
5084,Fortran VI
5085,Fortrash
5086,FORTRUNCIBLE
5087,fortune cookie
5088,forum
5089,for values of
5090,forward
5091,forward analysis
5092,forward chaining
5093,forward compatibility
5094,forward compatible
5095,forward delta
5096,forward engineering
5097,Forward Error Correction
5098,forwards compatibility
5099,forwards compatible
5100,FORWISS
5101,For Your Information
5102,FOSI
5103,FOSIL
5104,FOSS
5105,fossil
5106,foundation
5107,FOundation for Research and Technology - Hellas
5108,four-colour glossies
5109,four colour map theorem
5110,four colour theorem
5111,Fourier transform
5112,fourth generation computer
5113,fourth generation language
5114,fourth normal form
5115,Fowler-Nordheim tunnelling
5116,Fox
5117,FoxBASE+
5118,FoxPRO
5119,Fox Software
5120,Fox Wiki
5121,FP
5122,FP2
5123,FPA
5124,fpc
5125,FPGA
5126,FPLMTS
5127,FPM
5128,FP/M
5129,FPM DRAM
5130,fprintf
5131,fps
5132,FPU
5133,FQDN
5134,FQL
5135,fr
5136,FRA
5137,fractal
5138,fractal compression
5139,fractal dimension
5140,FRAD
5141,fragile
5142,fragment
5143,fragmentation
5144,FRAM
5145,frame
5146,frame buffer
5147,Frame Check Sequence
5148,frame grabber
5149,FrameKit
5150,FrameMaker
5151,frame pointer
5152,frame rate
5153,Frame Relay
5154,Frame Relay Access Device
5155,frames per second
5156,Frame Technology Corporation
5157,framework
5158,Framework 4
5159,framing specification
5160,FRANK
5161,Franz Lisp
5162,Fraps
5163,Fraunhofer Gesellschaft
5164,FRED
5165,fred
5166,Fredette's Operating System Interface Language
5167,frednet
5168,free
5169,FreeBSD
5170,FreeHEP
5171,Freenet
5172,Free Objects for Crystallography
5173,Free On-line Dictionary
5174,free open-source software
5175,FreePPP
5176,freerexx
5177,free software
5178,Free Software Foundation
5179,free variable
5180,freeware
5181,freeze
5182,"Frege, Gottlob"
5183,frequency division multiple access
5184,frequency division multiplexing
5185,Frequency-Hopping Spread Spectrum
5186,Frequency Modulation
5187,Frequency Shift Keying
5188,frequently asked question
5189,Fresco
5190,Fresh
5191,friction feed
5192,fried
5193,Friend
5194,FRINGE
5195,frink
5196,friode
5197,fritterware
5198,FRL
5199,FRMT-FTRN
5200,frob
5201,frobnicate
5202,frobnitz
5203,Frobozz Magic Programming Language
5204,frogging
5205,Frolic
5206,front end
5207,front-end processor
5208,front side bus
5209,frotzed
5210,frowney
5211,fry
5212,FS
5213,FSB
5214,fsck
5215,FSF
5216,FSK
5217,FSL
5218,FSM
5219,FSP
5220,fsplit
5221,FT
5222,FTAM
5223,FTP
5224,FTP archive
5225,FTP by mail
5226,FTP server
5227,"FTP Software, Inc."
5228,FTTP
5229,FTW
5230,FTX
5231,FUBAR
5232,FUD
5233,fudge
5234,fudge factor
5235,Fudgets
5236,FUDGIT
5237,FUD wars
5238,Fuel-can
5239,Fugue
5240,Fujitsu
5241,full-custom
5242,full-duplex
5243,full-duplex Switched Ethernet
5244,full laziness
5245,full-motion video
5246,full outer join
5247,fully associative cache
5248,Fully Automated Compiling Technique
5249,fully lazy lambda lifting
5250,fully qualified domain name
5251,fum
5252,Fun
5253,function
5254,functional
5255,functional database
5256,functional dependency
5257,functionality
5258,functional language
5259,functional program
5260,functional programming
5261,functional programming language
5262,functional requirements
5263,functional specification
5264,functional testing
5265,functional unit
5266,function application
5267,function complete
5268,Function Graph Language
5269,function inlining
5270,function key
5271,Function Point Analysis
5272,functor
5273,funky
5274,FUNLOG
5275,FunnelWeb
5276,funny money
5277,furigana
5278,furrfu
5279,FUSE
5280,FUSION
5281,fusion
5282,FutureBasic
5283,future date testing
5284,futz
5285,fuzzball
5286,fuzzy computing
5287,fuzzy logic
5288,fuzzy subset
5289,fweep
5290,FWIW
5291,fx
5292,FX-87
5293,FX-90
5294,FXO
5295,FXS
5296,FYA
5297,FYI
5298,FYI4
5299,G
5300,G2
5301,G3
5302,G4
5303,GA
5304,ga
5305,Gabriel
5306,gabriel
5307,"Gabriel, Richard"
5308,GADS
5309,Gaelic
5310,gag
5311,GAIA
5312,GAL
5313,Galaxy
5314,Galileo
5315,Gambit
5316,games
5317,game tree
5318,GAMMA
5319,gamma correction
5320,GAMS
5321,gamut
5322,GAN
5323,GANDALF
5324,gang bang
5325,GAP
5326,GAPLog
5327,garbageabetical order
5328,garbage collect
5329,garbage collection
5330,"Garbage In, Garbage Out"
5331,Gargoyle
5332,Garnet
5333,GARP
5334,garply
5335,Gartner Group
5336,gas
5337,GASP
5338,gas plasma display
5339,GAT
5340,GATE
5341,gate
5342,gated
5343,Gates
5344,gateway
5345,Gateway 2000
5346,Gauss
5347,Gaussian distribution
5348,gawk
5349,GB
5350,Gb
5351,gb
5352,g-bell
5353,GBIP
5354,GBML
5355,gbps
5356,GC
5357,GCAL
5358,GCC
5359,GCL
5360,G-Code
5361,GCOS
5362,GCOS Macro Assembler Program
5363,GCR
5364,GCT
5365,gd
5366,GDA
5367,GDB
5368,GDBPSK
5369,"G̦del, Kurt"
5370,GDI
5371,GDMO
5372,GDPL
5373,GE
5374,ge
5375,GE-645
5376,GEA
5377,GEANT
5378,GECOM
5379,GECOS
5380,Gedanken
5381,gedanken
5382,geef
5383,geek
5384,geek out
5385,GEI
5386,GE Information Services
5387,GEM
5388,gen
5389,gender mender
5390,Gene Amdahl
5391,General Activities Simulation Program
5392,General Aerodynamic Simulation Program
5393,General Dynamics Canada Ltd
5394,General Electric
5395,General Electric Comprehensive Operating System
5396,General Magic
5397,General Packet Radio Service
5398,General Protection Failure
5399,General Protection Fault
5400,General Public Licence
5401,General Public License
5402,General Public Virus
5403,General Purpose Graphic Language
5404,General Purpose Interface Bus
5405,General Purpose Language
5406,General Purpose Macro-generator
5407,General Recursion Theorem
5408,generate
5409,generation
5410,Generic Array Logic
5411,Generic Expert System Tool
5412,generic identifier
5413,genericity
5414,generic markup
5415,generic programming
5416,Generic Routing Encapsulation
5417,Generic Security Service Application Programming Interface
5418,generic thunk
5419,generic type variable
5420,Genesia
5421,genetic algorithm
5422,genetic algorithms
5423,genetic programming
5424,GEnie Services
5425,Genken Programming Language
5426,GENOVA
5427,gensym
5428,Gensym Corporation
5429,Gensym Standard Interface
5430,Gentleman's Portable Coroutine System
5431,GEN-X
5432,Geographical Information System
5433,Geographic Information System
5434,geometric mean
5435,GEORGE
5436,GEORGE 3
5437,George Boole
5438,Georg Simon Ohm
5439,GEOS
5440,GEPURS
5441,Gerald
5442,Gerald Sussman
5443,German
5444,German National Research Center for Computer Science
5445,GEST
5446,Get a life!
5447,Get a real computer!
5448,get.com
5449,getty
5450,gf
5451,GFDL
5452,g file
5453,GFLOPS
5454,GFR
5455,GFS
5456,gh
5457,GHC
5458,ghetto code
5459,ghost
5460,Ghostscript
5461,ghostview
5462,GHz
5463,GI
5464,gi
5465,"Gibson, William"
5466,gid
5467,GIF
5468,GIF89
5469,GIF89a
5470,GIFF
5471,gig
5472,giga-
5473,gigabit
5474,gigabits per second
5475,gigabyte
5476,gigaflop
5477,gigaflops
5478,GigaHertz
5479,GIGO
5480,gilley
5481,gillion
5482,"Gilmore, John"
5483,GIM-1
5484,GIN
5485,GINA
5486,Ginger
5487,GIP
5488,GIPS
5489,GIRL
5490,GIS
5491,Giuseppe Peano
5492,GIYF
5493,GKS
5494,GKS-3D
5495,GL
5496,gl
5497,Glammar
5498,glark
5499,Glasgow Haskell Compiler
5500,GLASS
5501,glass
5502,glass box testing
5503,glassfet
5504,glass tty
5505,GLB
5506,glibc
5507,Glish
5508,Glisp
5509,glitch
5510,glob
5511,global index
5512,globalisation
5513,Global Network Navigator
5514,Global Positioning System
5515,Global System for Mobile Communications
5516,glork
5517,GLOS
5518,GLOW
5519,GLS
5520,GLU
5521,glue
5522,glue language
5523,glyph
5524,Glypnir
5525,gm
5526,GMAP
5527,GMD
5528,GMD Toolbox for Compiler Construction
5529,GMT
5530,gn
5531,gnarly
5532,Gnat
5533,GNATS
5534,GNN
5535,GNOME
5536,Gnome Computers
5537,GNU
5538,GNU archive site
5539,GNU assembler
5540,GNU awk
5541,GNU BC
5542,GNU C
5543,GNU C Library
5544,GNU DC
5545,GNU E
5546,GNU Emacs
5547,GNU Free Documentation License
5548,GNU General Public License
5549,GNUMACS
5550,GNU mirror site
5551,GNU Network Object Model Environment
5552,Gnuplot
5553,GNU Privacy Guard
5554,GNU Problem Report Management System
5555,GNU public licence
5556,GNUS
5557,GNU sed
5558,GNU Smalltalk
5559,GNUStep
5560,GNU style
5561,GNU superoptimiser
5562,Go
5563,goal
5564,goal seek
5565,Go Back N
5566,gobble
5567,GObject Introspection
5568,Godwin's Law
5569,Godzillagram
5570,Goedel
5571,go-faster stripes
5572,Gofer
5573,Goffin
5574,go flatline
5575,GO-GO
5576,go gold
5577,GOL
5578,golden
5579,golf ball printer
5580,GOM
5581,gonk
5582,gonkulator
5583,GOOD
5584,Good Thing
5585,Google
5586,googol
5587,googolplex
5588,gopher
5589,Gopher client
5590,Gopher object type
5591,Gopherspace
5592,gorets
5593,gorilla arm
5594,go root
5595,gorp
5596,GOSIP
5597,"Gosling, James"
5598,GOSMACS
5599,Gosperism
5600,GOSPL
5601,gotcha
5602,goto
5603,Gottlob Frege
5604,gov
5605,governance
5606,Government OSI Profile
5607,go voice
5608,GP
5609,gp
5610,GPF
5611,GPIB
5612,GPL
5613,GPM
5614,GPRS
5615,GPS
5616,GPSS
5617,GPU
5618,GPV
5619,GPX
5620,gq
5621,gr
5622,GRAAL
5623,grabber pointer
5624,Grace Hopper
5625,GRAF
5626,Graffiti
5627,GRAIL
5628,GRAIN
5629,grain
5630,GRAM
5631,grammar
5632,grammar analysis
5633,grammatical inference
5634,"Grandfather, Father, Son"
5635,granularity
5636,Grapes
5637,Grapevine
5638,graph
5639,Graph Algorithm and Software Package
5640,graph coloring
5641,graph colouring
5642,Graphic ALGOL
5643,Graphical Kernel System
5644,Graphical User Interface
5645,Graphic Display Interface
5646,Graphic Language
5647,graphics
5648,graphics accelerator
5649,graphics adapter
5650,graphics adaptor
5651,graphics card
5652,Graphics Interchange Format
5653,Graphics Interface Format
5654,Graphics Language Object System
5655,graphic workstation
5656,Graph-Oriented Object Database
5657,graph plotter
5658,graph reduction
5659,graph rewriting system
5660,GRAPPLE
5661,GRAS
5662,GRASP/Ada
5663,GRASPIN
5664,grault
5665,Gray
5666,graybar land
5667,Gray code
5668,gray-scale
5669,GRE
